לֶאֱבוֹד,le'ev(o)d
לְהִתְלַהֵט,lehitlah(e)t
לִלְהוֹת,lilh(o)t
לְהִתְלַהֵם,lehitlah(e)m
לְלַהֵק,lelah(e)k
לְהִתְלַהֵק,lehitlah(e)k
לְהָלִיט,lehal(i)t
לִלְווֹת,lilv(o)t
לְהַלְווֹת,lehalv(o)t
לְהִתְלַוּוֹת,lehitlav(o)t
לְהִילָּווֹת,lehilav(o)t
לְלַוּוֹת,lelav(o)t
לְהִתְלוֹנֵן,lehitlon(e)n
לְהַלִּין,lehal(i)n
לְהָלִין,lehal(i)n
לָלוּן,lal(u)n
לָלוּשׁ,lal(u)x
לְלַחֵךְ,lelaH(e)H
לִלְחוֹךְ,lilH(o)H
לִלְחוֹם,lilH(o)m
לְהִילָּחֵם,lehilaH(e)m
לְהַלְחִים,lehalH(i)m
לְהַלְחִין,lehalH(i)n
לְהַלְחִיץ,lehalH(i)tz
לִלְחוֹץ,lilH(o)tz
לְהִילָּחֵץ,lehilaH(e)tz
לִלְחוֹשׁ,lilH(o)x
לְהִתְלַחֵשׁ,lehitlaH(e)x
לְהִתְלַחְשֵׁשׁ,lehitlaHx(e)x
לְלַטֵּף,lelat(e)f
לִלְטוֹף,lilt(o)f
לִלְטוֹשׁ,lilt(o)x
לְלַטֵּשׁ,lelat(e)x
לְהִתְלוֹצֵץ,lehitlotz(e)tz
לָלִיץ,lal(i)tz
לִלְכּוֹד,lilk(o)d
לְלַכֵּד,lelak(e)d
לְהִתְלַכֵּד,lehitlak(e)d
לְהִילָּכֵד,lehilaH(e)d
לְלַכְלֵךְ,lelaHl(e)H
לְהִתְלַכְלֵךְ,lehitlaHl(e)H
לְלַכְסֵן,lelaHs(e)n
לִלְמוֹד,lilm(o)d
לְלַמֵּד,lelam(e)d
לְהִילָּמֵד,lehilam(e)d
לְהִתְלַמֵּד,lehitlam(e)d
לִלְעוֹג,lil'(o)g
לְהַלְעִיג,lehal'(i)g
לְהַלְעִיט,lehal'(i)t
לְלַעְלֵעַ,lela'al(e)a
לִלְעוֹס,lil'(o)s
לְלַפֵּף,lelap(e)f
לִלְפּוֹת,lilp(o)t
לְהִילָּקֵחַ,lehilak(e)aH
לְהִתְלַקֵּחַ,lehitlak(e)aH
לָקַחַת,lak(a)Hat
לְהִילָּקֵט,lehilak(e)t
לְלַקֵּט,lelak(e)t
לְהִתְלַקֵּט,lehitlak(e)t
לִלְקוֹט,lilk(o)t
לְהַלְקוֹת,lehalk(o)t
לִלְקוֹת,lilk(o)t
לְלַקֵּק,lelak(e)k
לְהַלְשִׁין,lehalx(i)n
לְמָאֵן,lema'(e)n
לְהִימָּאֵס,lehima'(e)s
לְהַמְאִיס,leham'(i)s
לִמְאוֹס,lim'(o)s
לְמַגֵּן,lemag(e)n
לְמַגְנֵט,lemagn(e)t
לְהִתְמַגְנֵט,lehitmagn(e)t
לְמַגֵּר,lemag(e)R
לָמוֹד,lam(o)d
לְהִימָּדֵד,lehimad(e)d
לְהִתְמוֹדֵד,lehitmod(e)d
לִמְהוֹל,limh(o)l
לְהִימָּהֵל,lehimah(e)l
לְהִתְמַהְמֵהַּ,lehitmahm(e)a
לְמַהֵר,lemah(e)R
לְהִימּוֹג,lehim(o)g
לְהִתְמוֹגֵג,lehitmog(e)g
לְמוֹטֵט,lemot(e)t
לְהִתְמוֹטֵט,lehitmot(e)t
לָמוּט,lam(u)t
לְהִימּוֹט,lehim(o)t
לָמוּל,lam(u)l
לְהִימּוֹל,lehim(o)l
לְהָמִיר,leham(i)R
לָמוּשׁ,lam(u)x
לָמוּת,lam(u)t
לְהָמִית,leham(i)t
לִמְזוֹג,limz(o)g
לְהִתְמַזֵּג,lehitmaz(e)g
לְמַזֵּג,lemaz(e)g
לְמַזֵּג,lemaz(e)g
לְהִתְמַזֵּל,lehitmaz(e)l
לְהִתְמַזְמֵז,lehitmazm(e)z
לְמַזְמֵז,lemazm(e)z
לְמַזְעֵר,lemaz'(e)R
לִמְחוֹא,limH(o)
לְהַמְחִיז,lehamH(i)z
לְמַחְזֵר,lemaHz(e)R
לִמְחוֹט,limH(o)t
לִמְחוֹת,limH(o)t
לְהִימָּחוֹת,lehimaH(o)t
לְהִתְמַחוֹת,lehitmaH(o)t
לְמַחוֹת,lemaH(o)t
לִמְחוֹל,limH(o)l
לִמְחוֹץ,limH(o)tz
לְהִימָּחֵץ,lehimaH(e)tz
לִמְחוֹק,limH(o)k
לְהִימָּחֵק,lehimaH(e)k
לְהַמְחִישׁ,lehamH(i)x
לְמַחְשֵׁב,lemaHx(e)v
לְהַמְטִיר,lehamt(i)R
לְמַייֵּן,lemay(e)n
לְהָמִישׁ,leham(i)x
לִמְכּוֹר,limk(o)R
לְהִתְמַכֵּר,lehitmak(e)R
לְהִימָּכֵר,lehimaH(e)R
לְהִתְמַלֵּא,lehitmal(e)
לִמְלֹאת,liml(o)t
לְמַלֵּא,lemal(e)
לְהַמְלִיחַ,lehaml(i)aH
לְמַלֵּט,lemal(e)t
לְהִימָּלֵט,lehimal(e)t
לְהַמְלִיט,lehaml(i)t
לְהַמְלִיךְ,lehaml(i)H
לִמְלוֹךְ,liml(o)H
לְמַלְכֵּד,lemalk(e)d
לְמַלֵּל,lemal(e)l
לְמַלְמֵל,lemalm(e)l
לְהַמְלִיץ,lehaml(i)tz
לִמְלוֹק,liml(o)k
לְמַמֵּן,lemam(e)n
לְמַמֵּשׁ,lemam(e)x
לְהִתְמַמֵּשׁ,lehitmam(e)x
לִמְנוֹת,limn(o)t
לְהִימָּנוֹת,lehiman(o)t
לְמַנּוֹת,leman(o)t
לְהִתְמַנּוֹת,lehitman(o)t
לְמַנֵּן,leman(e)n
לִמְנוֹעַ,limn(o)a
לְהִימָּנֵעַ,lehiman(e)a
לְמַנֵּף,leman(e)f
לְמַסְגֵּר,lemasg(e)R
לְמַסֵּד,lemas(e)d
לְהִתְמַסֵּד,lehitmas(e)d
לְהִתְמַסְחֵר,lehitmasH(e)R
לְמַסְחֵר,lemasH(e)R
לְהִתְמַסְטֵל,lehitmast(e)l
לְמַסּוֹת,lemas(o)t
לְהִתְמַסְמֵס,lehitmasm(e)s
לְמַסְמֵר,lemasm(e)R
לְהִתְמוֹסֵס,lehitmos(e)s
לְהָמִיס,leham(i)s
לְהִימּוֹס,lehim(o)s
לְמוֹסֵס,lemos(e)s
לְמַסְפֵּר,lemasp(e)R
לִמְסוֹר,lims(o)R
לְהִימָּסֵר,lehimas(e)R
לְהִתְמַסֵּר,lehitmas(e)R
לְמַסְרֵר,lemasR(e)R
לִמְעוֹד,lim'(o)d
לְהַמְעִיד,leham'(i)d
לְמַעֵט,lema'(e)t
לְהַמְעִיט,leham'(i)t
לְהִתְמַעֵט,lehitma'(e)t
מָעַט,ma'(a)t
לִמְעוֹךְ,lim'(o)H
לְהִימָּעֵךְ,lehima'(e)H
לִמְעוֹל,lim'(o)l
לְמַעֵן,lema'(e)n
לִמְעוֹן,lim'(o)n
לְמַפּוֹת,lemap(o)t
לִמְצוֹא,limtz(o)
לְהִימָּצֵא,lehimatz(e)
לְהַמְצִיא,lehamtz(i)
לְהִתְמַצֵּא,lehitmatz(e)
לְמַצֵּב,lematz(e)v
לְמַצּוֹת,lematz(o)t
לִמְצוֹת,limtz(o)t
לְמַצְמֵץ,lematzm(e)tz
לִמְצוֹץ,limtz(o)tz
לְהִימָּצֵץ,lehimatz(e)tz
לְהִתְמַצֵּק,lehitmatz(e)k
לְמַקֵּד,lemak(e)d
לְהִתְמַקֵּד,lehitmak(e)d
לְהִתְמַקֵּחַ,lehitmak(e)aH
לְמַקֵּם,lemak(e)m
לְהִתְמַקֵּם,lehitmak(e)m
לְמַקְסֵס,lemaks(e)s
לְמַקֵּף,lemak(e)f
לְהִתְמַקְצֵעַ,lehitmaktz(e)a
לְהִימֵּק,lehim(e)k
לְמַקֵּר,lemak(e)R
לְמַקֵּשׁ,lemak(e)x
לְהַמְרִיא,lehamR(i)
לִמְרוֹד,limR(o)d
לְהִתְמָרֵד,lehitmaR(e)d
לְהַמְרִיד,lehamR(i)d
לִמְרוֹחַ,limR(o)aH
לְהִימָּרֵחַ,lehimaR(e)aH
לִמְרוֹט,limR(o)t
לְהַמְרוֹת,lehamR(o)t
לְמַרְכֵּז,lemaRk(e)z
לְהִתְמַרְכֵּז,lehitmaRk(e)z
לְמַרְמֵר,lemaRm(e)R
לְהִתְמַרְמֵר,lehitmaRm(e)R
לְמַרְפֵּק,lemaRp(e)k
לְהַמְרִיץ,lehamR(i)tz
לְמָרֵק,lemaR(e)k
לְהָמֵר,leham(e)R
לְמָרֵר,lemaR(e)R
לְהַמְשִׂיג,lehams(i)g
לִמְשׁוֹחַ,limx(o)aH
לִמְשׁוֹת,limx(o)t
לְהִימָּשׁוֹת,lehimax(o)t
לִמְשׁוֹךְ,limx(o)H
לְהִימָּשֵׁךְ,lehimax(e)H
לְהִתְמַשֵּׁךְ,lehitmax(e)H
לְהַמְשִׁיךְ,lehamx(i)H
לְמַשְׁכֵּן,lemaxk(e)n
לִמְשׁוֹל,limx(o)l
לְהַמְשִׁיל,lehamx(i)l
לְהִימָּשֵׁל,lehimax(e)l
לְמַשְׁמֵעַ,lemaxm(e)a
לְמַשְׁמֵשׁ,lemaxm(e)x
לְמַשֵּׁשׁ,lemax(e)x
לְמַתֵּג,lemat(e)g
לִמְתּוֹחַ,limt(o)aH
לְהִימָּתֵחַ,lehimat(e)aH
לְהִתְמַתֵּחַ,lehitmat(e)aH
לְמַתֵּן,lemat(e)n
לְהַמְתִּין,lehamt(i)n
לְהַמְתִּיק,lehamt(i)k
לִנְאוֹת,lin'(o)t
לִנְאוֹם,lin'(o)m
לְנָאֵף,lena'(e)f
לִנְאוֹף,lin'(o)f
לְנָאֵץ,lena'(e)tz
לִנְאוֹק,lin'(o)k
לְנַבֵּא,lenab(e)
לְהִתְנַבֵּא,lehitnab(e)
לְהִינָּבֵא,lehinav(e)
לִנְבּוֹחַ,linb(o)aH
לְהַנְבִּיט,lehanb(i)t
לְהַבִּיט,lehab(i)t
לִנְבּוֹט,linb(o)t
לִנְבּוֹל,linb(o)l
לִנְבּוֹעַ,linb(o)a
לְהַבִּיעַ,lehab(i)a
לִנְבּוֹר,linb(o)R
לְנַגֵּב,lenag(e)v
לְהִתְנַגֵּב,lehitnag(e)v
לְהַנְגִּיד,lehang(i)d
לְהִתְנַגֵּד,lehitnag(e)d
לְהַגִּיד,lehag(i)d
לִנְגּוֹד,ling(o)d
לִנְגּוֹהַּ,ling(o)a
לְהַגִּיהַּ,lehag(i)a
לִנְגּוֹחַ,ling(o)aH
לְנַגֵּן,lenag(e)n
לְהִתְנַגֵּן,lehitnag(e)n
לִנְגּוֹס,ling(o)s
לְהַגִּיעַ,lehag(i)a
לָגַעַת,lag(a)'at
לְנַגֵּעַ,lenag(e)a
לְהִינָּגַע,lehinag(a)
לְהִינָּגֵף,lehinag(e)f
לְהִינָּגֵר,lehinag(e)R
לְנַגֵּר,lenag(e)R
לָגֶשֶׁת,lag(e)xet
לְהַגִּישׁ,lehag(i)x
לְהַנְגִּישׁ,lehang(i)x
לְהִתְנַגֵּשׁ,lehitnag(e)x
לְנַדֵּב,lenad(e)v
לְהִתְנַדֵּב,lehitnad(e)v
לִנְדּוֹב,lind(o)v
לִנְדּוֹד,lind(o)d
לְהַדִּיחַ,lehad(i)aH
לְנַדּוֹת,lenad(o)t
לְנַדְנֵד,lenadn(e)d
לְהִתְנַדְנֵד,lehitnadn(e)d
לְהִתְנַדֵּף,lehitnad(e)f
לְהִינָּדֵף,lehinad(e)f
לְהַדִּיף,lehad(i)f
לִנְדּוֹף,lind(o)f
לִידּוֹר,lid(o)R
לְהַדִּיר,lehad(i)R
לְהִתְנַהֵג,lehitnah(e)g
לִנְהוֹג,linh(o)g
לְהַנְהִיג,lehanh(i)g
לְנַהֵל,lenah(e)l
לְהִתְנַהֵל,lehitnah(e)l
לִנְהוֹם,linh(o)m
לִנְהוֹק,linh(o)k
לִנְהוֹר,linh(o)R
לְהָנִיא,lehan(i)
לְהָנִיב,lehan(i)v
לָנוּב,lan(u)v
לָנוּד,lan(u)d
לְהִתְנוֹדֵד,lehitnod(e)d
לְהָנִיד,lehan(i)d
לָנוּחַ,lan(u)aH
לְהָנִיחַ,lehan(i)aH
לְהַנִּיחַ,lehan(i)aH
לְנַווֵּט,lenav(e)t
נָאווֶה,nav(e)
לִנְווֹת,linv(o)t
לָנוּם,lan(u)m
לְהִתְנַווֵּן,lehitnav(e)n
לְנַווֵּן,lenav(e)n
לְהָנִיס,lehan(i)s
לָנוּס,lan(u)s
לָנוּעַ,lan(u)a
לְהָנִיעַ,lehan(i)a
לְהִתְנוֹעֵעַ,lehitno'(e)a
לְנוֹפֵף,lenof(e)f
לְהִתְנוֹפֵף,lehitnof(e)f
לְהָנִיף,lehan(i)f
לְהַזּוֹת,lehaz(o)t
לְהַזּוֹת,lehaz(o)t
לְהַנְזִיל,lehanz(i)l
לִנְזוֹל,linz(o)l
לְהַזִּיל,lehaz(i)l
לְהִינָּזֵף,lehinaz(e)f
לִנְזוֹף,linz(o)f
לְהַזִּיק,lehaz(i)k
לְהִינָּזֵק,lehinaz(e)k
לְהִתְנַזֵּר,lehitnaz(e)R
לְהַנְחוֹת,lehanH(o)t
לִנְחוֹל,linH(o)l
לְהַנְחִיל,lehanH(i)l
לְהִתְנַחֵל,lehitnaH(e)l
לְנַחֵם,lenaH(e)m
לְהִינָּחֵם,lehinaH(e)m
לְהִתְנַחֵם,lehitnaH(e)m
לְהִתְנַחְמֵד,lehitnaHm(e)d
לִנְחוֹר,linH(o)R
לְנַחֵשׁ,lenaH(e)x
לִנְחוֹת,linH(o)t
לְהַנְחִית,lehanH(i)t
לִנְטוֹת,lint(o)t
לְהַטּוֹת,lehat(o)t
לְהִינָּטוֹת,lehinat(o)t
לִיטּוֹל,lit(o)l
לְהִינָּטֵעַ,lehinat(e)a
לָטַעַת,lat(a)'at
לִנְטוֹף,lint(o)f
לְהַטִּיף,lehat(i)f
לִנְטוֹר,lint(o)R
לְנַטֵּר,lenat(e)R
לְנַטְרֵל,lenatR(e)l
לִנְטוֹשׁ,lint(o)x
לְהִינָּטֵשׁ,lehinat(e)x
לְהִינָּטֵשׁ,lehinat(e)x
לְהִתְנַייֵּד,lehitnay(e)d
לִנְכּוֹחַ,link(o)aH
לְהַנְכִיחַ,lehanH(i)aH
לְהַכּוֹת,lehak(o)t
לְנַכּוֹת,lenak(o)t
לְהִתְנַכֵּל,lehitnak(e)l
לְהִינָּכֵר,lehinaH(e)R
לְנַכֵּר,lenak(e)R
לְהַכִּיר,lehak(i)R
לְהִתְנַכֵּר,lehitnak(e)R
לְהַכִּישׁ,lehak(i)x
לְהַנְמִיךְ,lehanm(i)H
לְנַמְנֵם,lenamn(e)m
לְהִתְנַמְנֵם,lehitnamn(e)m
לְנַמֵּק,lenam(e)k
לְהַסִּיג,lehas(i)g
לְהַסִּיחַ,lehas(i)aH
לְנַסֵּחַ,lenas(e)aH
לְנַסּוֹת,lenas(o)t
לְהִתְנַסּוֹת,lehitnas(o)t
לִנְסוֹךְ,lins(o)H
לְהִתְנוֹסֵס,lehitnos(e)s
לִנְסוֹעַ,lins(o)a
לְהַסִּיעַ,lehas(i)a
לְהַסִּיק,lehas(i)k
לְהַסִּיק,lehas(i)k
לִנְסוֹק,lins(o)k
לְנַסֵּר,lenas(e)R
לִנְסוֹר,lins(o)R
לִנְעוֹל,lin'(o)l
לִנְעוֹל,lin'(o)l
לְהַנְעִיל,lehan'(i)l
לְהִינָּעֵל,lehina'(e)l
לִנְעוֹם,lin'(o)m
לְהַנְעִים,lehan'(i)m
לְנַעְנֵעַ,lena'an(e)a
לְהִתְנַעְנֵעַ,lehitna'an(e)a
לִנְעוֹץ,lin'(o)tz
לְהִינָּעֵץ,lehina'(e)tz
לְנַעֵר,lena'(e)R
לְהִתְנַעֵר,lehitna'(e)R
לְהִינָּעֵר,lehina'(e)R
לִנְעוֹר,lin'(o)R
לִנְפּוֹחַ,linp(o)aH
לְנַפֵּחַ,lenap(e)aH
לְהִתְנַפֵּחַ,lehitnap(e)aH
לְנַפּוֹת,lenap(o)t
לְהַפִּיל,lehap(i)l
לִיפּוֹל,lip(o)l
לְהִתְנַפֵּל,lehitnap(e)l
לְנַפְנֵף,lenafn(e)f
לְנַפֵּץ,lenap(e)tz
לְהִתְנַפֵּץ,lehitnap(e)tz
לְהַנְפִּיק,lehanp(i)k
לְהַפִּיק,lehap(i)k
לְהַנְפִּישׁ,lehanp(i)x
לִנְפּוֹשׁ,linp(o)x
לְנַצֵּחַ,lenatz(e)aH
לְהִתְנַצֵּחַ,lehitnatz(e)aH
לְהַנְצִיחַ,lehantz(i)aH
לְהַצִּיל,lehatz(i)l
לְהִינָּצֵל,lehinatz(e)l
לְנַצֵּל,lenatz(e)l
לְהִתְנַצֵּל,lehitnatz(e)l
לְנַצְנֵץ,lenatzn(e)tz
לְהִתְנוֹצֵץ,lehitnotz(e)tz
לְהָנֵץ,lehan(e)tz
לִנְצוֹץ,lintz(o)tz
לְהִתְנַצֵּר,lehitnatz(e)R
לִנְצוֹר,lintz(o)R
לִנְקוֹב,link(o)v
לְנַקֵּד,lenak(e)d
לְהִתְנַקֵּז,lehitnak(e)z
לְנַקֵּז,lenak(e)z
לְהִינָּקֵט,lehinak(e)t
לִנְקוֹט,link(o)t
לְנַקּוֹת,lenak(o)t
לְהִתְנַקּוֹת,lehitnak(o)t
לִנְקוֹם,link(o)m
לְהִתְנַקֵּם,lehitnak(e)m
לְהִינָּקֵם,lehinak(e)m
לִנְקוֹעַ,link(o)a
לְהַקִּיף,lehak(i)f
לִנְקוֹף,link(o)f
לְנַקֵּר,lenak(e)R
לִנְקוֹשׁ,link(o)x
לְהִתְנַקֵּשׁ,lehitnak(e)x
לְהַקִּישׁ,lehak(i)x
לְנַרְמֵל,lenaRm(e)l
לְהִתְנַשֵּׂא,lehitnas(e)
לָשֵׂאת,las(e)t
לְהִינָּשֵׂא,lehinas(e)
לְהַשִּׂיא,lehas(i)
לְנַשֵּׁב,lenax(e)v
לִנְשׁוֹב,linx(o)v
לְהַשִּׂיג,lehas(i)g
לִנְשׁוֹת,linx(o)t
לְנַשֵּׁךְ,lenax(e)H
לִנְשׁוֹךְ,linx(o)H
לְהִינָּשֵׁךְ,lehinax(e)H
לְנַשֵּׁל,lenax(e)l
לִנְשׁוֹל,linx(o)l
לְהַשִּׁיל,lehax(i)l
לִנְשׁוֹם,linx(o)m
לְהִתְנַשֵּׁם,lehitnax(e)m
לְהַנְשִׁים,lehanx(i)m
לְנַשְׁנֵשׁ,lenaxn(e)x
לִנְשׁוֹף,linx(o)f
לְהִתְנַשֵּׁף,lehitnax(e)f
לְנַשֵּׁף,lenax(e)f
לְנַשֵּׁק,lenax(e)k
לְהַשִּׁיק,lehax(i)k
לְהִתְנַשֵּׁק,lehitnax(e)k
לִנְשׁוֹק,linx(o)k
לִנְשׁוֹר,linx(o)R
לְהַנְשִׁיר,lehanx(i)R
לְהַשִּׁיר,lehax(i)R
לְנַתֵּב,lenat(e)v
לְהַתִּיז,lehat(i)z
לְהִינָּתֵז,lehinat(e)z
לְנַתֵּחַ,lenat(e)aH
לְהַתִּיךְ,lehat(i)H
לָתֵת,lat(e)t
לְהִינָּתֵן,lehinat(e)n
לְנַתֵּץ,lenat(e)tz
לְהַתִּיק,lehat(i)k
לְהִינָּתֵק,lehinat(e)k
לְהִתְנַתֵּק,lehitnat(e)k
לְנַתֵּק,lenat(e)k
לְנַתֵּר,lenat(e)R
לְהַתִּיר,lehat(i)R
לְהַתִּישׁ,lehat(i)x
לְהִסְתָּאֵב,lehista'(e)v
לִסְאוֹן,lis'(o)n
לְהִסְתּוֹבֵב,lehistov(e)v
לְהִיסּוֹב,lehis(o)v
לְסוֹבֵב,lesov(e)v
לָסוֹב,las(o)v
לְסַבֵּב,lesab(e)v
לְהָסֵב,lehas(e)v
לְסַבֵּךְ,lesab(e)H
לְהִסְתַּבֵּךְ,lehistab(e)H
לִסְבּוֹל,lisb(o)l
לְסַבְּלֵט,lesabl(e)t
לְסַבֵּן,lesab(e)n
לְהִסְתַּבֵּן,lehistab(e)n
לְסַבְסֵד,lesavs(e)d
לְהַסְבִּיר,lehasb(i)R
לִסְבּוֹר,lisb(o)R
לְהִסְתַּבֵּר,lehistab(e)R
לִסְגּוֹד,lisg(o)d
לְסַגֵּל,lesag(e)l
לְהִסְתַּגֵּל,lehistag(e)l
לְסַגְנֵן,lesagn(e)n
לְסַגְסֵג,lesags(e)g
לְהִסְתַּגֵּף,lehistag(e)f
לְסַגֵּף,lesag(e)f
לִסְגּוֹר,lisg(o)R
לְהִיסָּגֵר,lehisag(e)R
לְהַסְגִּיר,lehasg(i)R
לְהִסְתַּגֵּר,lehistag(e)R
לְהִיסָּדֵק,lehisad(e)k
לְסַדֵּק,lesad(e)k
לִסְדּוֹק,lisd(o)k
לְסַדֵּר,lesad(e)R
לְהַסְדִּיר,lehasd(i)R
לְהִסְתַּדֵּר,lehistad(e)R
לָסֶגֶת,las(e)get
לְסַווֵּג,lesav(e)g
לְהִסְתּוֹדֵד,lehistod(e)d
לְהַסְווֹת,lehasv(o)t
לָסוּר,las(u)R
לְהָסִית,lehas(i)t
לִסְחוֹב,lisH(o)v
לְהִיסָּחֵב,lehisaH(e)v
לִסְחוֹט,lisH(o)t
לְהִיסָּחֵט,lehisaH(e)t
לִסְחוֹף,lisH(o)f
לְהִיסָּחֵף,lehisaH(e)f
לִסְחוֹר,lisH(o)R
לְהִיסָּחֵר,lehisaH(e)R
לְסַחְרֵר,lesaHR(e)R
לְהִסְתַּחְרֵר,lehistaHR(e)R
לִסְטוֹת,list(o)t
לִסְטוֹר,list(o)R
לְהִסְתַּייֵּג,lehistay(e)g
לְסַייֵּג,lesay(e)g
לְסַייֵּד,lesay(e)d
לְהָסִיחַ,lehas(i)aH
לָסִיחַ,las(i)aH
לְהָסִיט,lehas(i)t
לְהִסְתַּייֵּם,lehistay(e)m
לְסַייֵּם,lesay(e)m
לְסַייֵּעַ,lesay(e)a
לְהִסְתַּייֵּעַ,lehistay(e)a
לְהָסִיר,lehas(i)R
לְסַייֵּר,lesay(e)R
לִסְכּוֹךְ,lisk(o)H
לְסוֹכֵךְ,lesoH(e)H
לְסַכֵּךְ,lesak(e)H
לְסַכֵּל,lesak(e)l
לְהִסְתַּכֵּל,lehistak(e)l
לְסַכֵּם,lesak(e)m
לְהַסְכִּים,lehask(i)m
לִסְכּוֹם,lisk(o)m
לְהִסְתַּכֵּם,lehistak(e)m
לְסַכֵּן,lesak(e)n
לְהַסְכִּין,lehask(i)n
לְהִסְתַּכֵּן,lehistak(e)n
לְהִסְתַּכְסֵךְ,lehistaHs(e)H
לְסַכְסֵךְ,lesaHs(e)H
לִסְכּוֹר,lisk(o)R
לְהַסְכִּית,lehask(i)t
לְהִסְתַּלְבֵּט,lehistalb(e)t
לִסְלוֹד,lisl(o)d
לִסְלוֹחַ,lisl(o)aH
לְהִיסָּלֵחַ,lehisal(e)aH
לְהִיסָּלֵל,lehisal(e)l
לִסְלוֹל,lisl(o)l
לְהַסְלִים,lehasl(i)m
לְהִסְתַּלְסֵל,lehistals(e)l
לְסַלְסֵל,lesals(e)l
לְסַלֵּף,lesal(e)f
לְסַלֵּק,lesal(e)k
לְהִסְתַּלֵּק,lehistal(e)k
לְסַמֵּא,lesam(e)
לְהִסְתַּמֵּא,lehistam(e)
לִסְמוֹךְ,lism(o)H
לְהִיסָּמֵךְ,lehisam(e)H
לְהַסְמִיךְ,lehasm(i)H
לְהִסְתַּמֵּךְ,lehistam(e)H
לְסַמֵּל,lesam(e)l
לְסַמֵּם,lesam(e)m
לְסַמֵּן,lesam(e)n
לְהִסְתַּמֵּן,lehistam(e)n
לְסַמֵּס,lesam(e)s
לְסַמְפֵּט,lesamp(e)t
לְהַסְמִיק,lehasm(i)k
לִסְמוֹר,lism(o)R
לְסַמֵּר,lesam(e)R
לְסַמְרֵר,lesamR(e)R
לְסַנְגֵּר,lesang(e)R
לְסַנְדֵּל,lesand(e)l
לְהִסְתַּנְווֵר,lehistanv(e)R
לְסַנְווֵר,lesanv(e)R
לְהִסְתַּנְווֵר,lehistanv(e)R
לְסַנְכְּרֵן,lesankR(e)n
לְהִסְתַּנְכְּרֵן,lehistankR(e)n
לְסַנֵּן,lesan(e)n
לְהִסְתַּנֵּן,lehistan(e)n
לְסַנֵּף,lesan(e)f
לְהִסְתַּנֵּף,lehistan(e)f
לִסְעוֹד,lis'(o)d
לְהִסְתַּעֵף,lehista'(e)f
לְהִיסָּעֵר,lehisa'(e)R
לְהִסְתַּעֵר,lehista'(e)R
לְהַסְעִיר,lehas'(i)R
לִסְעוֹר,lis'(o)R
לִסְפּוֹג,lisp(o)g
לְהִיסָּפֵג,lehisaf(e)g
לְהַסְפִּיג,lehasp(i)g
לִסְפּוֹד,lisp(o)d
לְהִיסָּפֵד,lehisaf(e)d
לְהַסְפִּיד,lehasp(i)d
לְסַפֵּחַ,lesap(e)aH
לְהִיסָּפֵחַ,lehisaf(e)aH
לִסְפּוֹחַ,lisp(o)aH
לְהִסְתַּפֵּחַ,lehistap(e)aH
לִסְפּוֹת,lisp(o)t
לְהִיסָּפוֹת,lehisaf(o)t
לִסְפּוֹן,lisp(o)n
לְסַפְסֵר,lesafs(e)R
לְסַפֵּק,lesap(e)k
לְהִסְתַּפֵּק,lehistap(e)k
לְהַסְפִּיק,lehasp(i)k
לִסְפּוֹק,lisp(o)k
לִסְפּוֹר,lisp(o)R
לְהִסְתַּפֵּר,lehistap(e)R
לְהִיסָּפֵר,lehisaf(e)R
לְסַפֵּר,lesap(e)R
לְסַפְרֵת,lesafR(e)t
לִסְקוֹל,lisk(o)l
לְסַקֵּל,lesak(e)l
לְהִיסָּקֵל,lehisak(e)l
לִסְקוֹר,lisk(o)R
לְסַקֵּר,lesak(e)R
לְהִיסָּקֵר,lehisak(e)R
לְסַקְרֵן,lesakR(e)n
לְהִסְתַּקְרֵן,lehistakR(e)n
לְסָרֵב,lesaR(e)v
לְסַרְבֵּל,lesaRb(e)l
לִסְרוֹג,lisR(o)g
לְהִיסָּרֵג,lehisaR(e)g
לְהַסְרִיחַ,lehasR(i)aH
לִסְרוֹט,lisR(o)t
לְהִיסָּרֵט,lehisaR(e)t
לְהַסְרִיט,lehasR(i)t
לְסָרֵס,lesaR(e)s
לְהִיסָּרֵק,lehisaR(e)k
לְסָרֵק,lesaR(e)k
לְהִסְתָּרֵק,lehistaR(e)k
לִסְרוֹק,lisR(o)k
לְהִיסָּתֵם,lehisat(e)m
לִסְתּוֹם,list(o)m
לְהִיסָּתֵר,lehisat(e)R
לִסְתּוֹר,list(o)R
לְהִסְתַּתֵּר,lehistat(e)R
לְהַסְתִּיר,lehast(i)R
לְסַתֵּת,lesat(e)t
לְעַבֵּד,le'ab(e)d
לְהַעֲבִיד,leha'av(i)d
לַעֲבוֹד,la'av(o)d
לְעַבּוֹת,le'ab(o)t
לְהִתְעַבּוֹת,lehit'ab(o)t
לַעֲבוֹת,la'av(o)t
לְהַעֲבִיר,leha'av(i)R
לְעַבֵּר,le'ab(e)R
לְהִתְעַבֵּר,lehit'ab(e)R
לַעֲבוֹר,la'av(o)R
לְעַבְרֵת,le'avR(e)t
לְהִתְעַבְרֵת,lehit'avR(e)t
לְהִתְעַבֵּשׁ,lehit'ab(e)x
לַעֲגוֹב,la'ag(o)v
לְעַגֵּל,le'ag(e)l
לְהִתְעַגֵּל,lehit'ag(e)l
לְעַגֵּן,le'ag(e)n
לַעֲגוֹן,la'ag(o)n
לְהִתְעַדְכֵּן,lehit'adk(e)n
